property_name,website,address,phone_number,property_image,developer,manager,owner,property_type,property_status,product_type,property_rating,comp_status,year_built_or_renovated,date_of_most_recent_sale,distance_from_campus
1047 Commonwealth Avenue,https://www.1047commonwealth.com/,"1047 Commonwealth Ave, Boston, MA, 02215",(617) 500-6481,https://images1.forrent.com/i2/0ksd7Uwm-74efUhB-UiU1cEyVv3NVOiCCVuF4oQ7cZI/117/image.jpg,BPDA,GMH Communities,AGC + GMH Communities,Student,Operational,Mid-Rise,2,Subject Property,2017,2019-01-01,0.1
1330 Boylston,https://1330boylston.com/,"1330 Boylston St, Boston, MA, 02215",(617) 267-1330,https://www.1330boylston.com/wp-content/uploads/2024/02/1330-Boylston-Apartments_Rooftop-Pool_web.jpg,Samuels and Associates,Samuels and Associates,Samuels and Associates,Conventional,Operational,High-Rise,5,Tier 2,2008,NA,1
Van Ness,https://www.thevanness.com/,"1335 Boylston St, Boston, MA, 02215",(617) 424-1335,https://www.thevanness.com/wp-content/uploads/2022/02/VanNess-Background3.jpeg,Samuels And Associates,Samuels And Associates,Samuels And Associates,Conventional,Operational,High-Rise,4,Tier 2,2015,NA,1
Bower,https://bowerboston.com/,"771 Beacon St Apartment 775, Boston, MA, 02215",(617) 341-9700,https://images1.apartments.com/i2/GrryY6jRKond7gyq7pWAsu8Mj8i7OIh_GRtZ4tM_CLc/111/bower-boston-ma-building-photo.jpg,The Green Cities Company,Greystar,Greystar,Conventional,Operational,High-Rise,5,Tier 2,2020,NA,0.2
