xl_file,property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,501 S. 6Th,D2,0,16,711.25,16,5,8,11,8,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,501 S. 6Th,D3 Townhome,0,4,825,4,1,4,2,0,3,4,0.75,1,0.25,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,501 S. 6Th,E1 Townhome,0,20,791.5,20,15,8,3,12,18,20,0.9,1,0.09999999999999998,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,501 S. 6Th,E2 Townhome,0,20,812.6315789473684,19,11,5,5,14,16,19,0.8,0.95,0.1499999999999999,1
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,A1,0,16,1385.9375,15,10,12,4,4,14,16,0.875,1,0.125,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,B1,0,8,874.375,8,7,6,0,2,7,8,0.875,1,0.125,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,B2,0,16,886.25,16,14,10,2,6,16,16,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,B3,0,8,981.875,7,8,6,0,2,8,8,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,D1,0,16,853.75,16,13,6,0,10,13,16,0.8125,1,0.1875,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,M1 Murphy,0,12,1071.6666666666667,10,9,7,2,5,11,12,0.9166666666666666,1,0.08333333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,M1 Murphy Balcony,0,16,1111.875,16,9,11,6,5,15,16,0.9375,1,0.0625,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,M2 Murphy,0,4,1125,4,2,4,2,0,4,4,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,908 S. 1St,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,A1,0,10,1863.4,10,2,2,7,8,9,10,0.9,1,0.09999999999999998,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,B1,0,21,1023.4171428571428,21,18,13,4,8,22,21,1.0476190476190477,1,-0.04761904761904767,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,B1 Semi-Shared,0,21,864.8235294117648,20,6,12,10,5,16,17,0.7619047619047619,0.8095238095238095,0.04761904761904767,4
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,C1 Study,0,3,1071.6666666666667,2,1,3,1,0,2,3,0.6666666666666666,1,0.33333333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Academy 65,D1 Balcony,0,40,950.48,33,11,7,8,5,19,12,0.475,0.3,-0.175,28
