xl_file,report_name,report_version,property_names,period_date,lease_occupancy_types,summarize_by,group_by,consider_pre_leased_on,leases_included,charge_code_details,space_options,combine_unit_spaces_with_same_lease,consolidate_by,arrange_by_property,yoy,generated_date,data_as_of_date
data-raw/data/original/pre_lease/Pre-Lease - 2024-06-05T144159.276.xlsx,Pre-Lease,3.3,"Academy 65, Academy Lincoln, 1008 S. 4th, 307 E. Daniel, 501 S. 6th, 908 S. 1st, 1047 Commonwealth Avenue, The Dean Campustown",2024-09-01,All Lease Occupancy Types,Unit Type,Unit Type,Lease: Partially Completed,"Lease: Partially Completed, Lease: Completed, Lease: Approved, Lease: Partially Completed, Lease: Completed, Lease: Approved, Unit Assigned, No Unit Assigned",Show,Do Not Show,No,Do Not Consolidate,No,Show,2024-06-05T14:39:00Z,2024-06-05T14:39:00Z
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Pre-Lease,3.3,"The Academy at Frisco, The Academy on Charles, Shortbread Lofts, The Rise at Northgate, Station Nine, Academy 65, Academy Lincoln, 1008 S. 4th, 307 E. Daniel, 501 S. 6th, 908 S. 1st, 1047 Commonwealth Avenue, The Dean Campustown, SOVA, ANOVA uCity Square, Torre, Courts at Spring Mill Station, The Caswell at Runnymeade, The Dean Reno, Venue at North Campus",2024-09-01,All Lease Occupancy Types,Unit Type,Unit Type,Lease: Partially Completed,"Lease: Partially Completed, Lease: Completed, Lease: Approved, Lease: Partially Completed, Lease: Completed, Lease: Approved, Unit Assigned, No Unit Assigned",Show,Do Not Show,No,Do Not Consolidate,No,Show,2024-08-13T11:28:00Z,2024-08-13T11:28:00Z
