report_date,property_id,property_name,unit_type,excluded_units,rentable_units,occupied_units,available_units,avg_market_rent,avg_budgeted_rent,avg_advertised_rate,avg_scheduled_rent,avg_actual_charges,avg_scheduled_charges,current_preleased_new_count,prior_preleased_new_count,current_preleased_renewal_count,prior_preleased_renewal_count,current_preleased_total_count,prior_preleased_total_count,current_preleased_percent,prior_preleased_percent,variance
2025-02-11,577897,Station Nine,b1 1F Pool Side by Side,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1 1F Side by Side,0,9,9,9,2320,2320,0,2366,19407,2366,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1 Courtyard Side by Side,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1 Pool Side by Side,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1 Side by Side,0,19,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1 TF Side by Side,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1al TF Courtyard Side by Side,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1al TF Pool Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1al TF Side by Side,0,6,5,6,2530,2680,2530,2530,8310.73,2530,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1bl TF Pool Side by Side,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1bl TF Side by Side,0,4,3,4,2680,2680,0,2733,22735.11,2733,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1hc 1F Side by Side,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b1hc Side by Side,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b2a 1F Courtyard Side by Side,0,2,2,2,2230,2405,0,2285,33063.16,2285,0,0,0,0,0,0,0,0,0
2025-02-11,577897,Station Nine,b2a 1F Side by Side,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
