report_date,property_id,property_name,unit_type,total_units,excluded_units,rentable_units,available_units,avg_scheduled_charges,current_occupied,current_occupancy,current_total_new,current_total_renewals,current_total_leases,current_preleased_percent,prior_total_new,prior_total_renewals,prior_total_leases,prior_preleased_percent,yoy_variance_count,yoy_variance_percent
2025-02-14,577897,Station Nine,a3a Side by Side,4,0,4,4,1989,4,1,1,0,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,a3a TF Side by Side,2,0,2,2,1845,2,1,0,1,1,0.5,1,1,2,1,-1,-0.5
2025-02-14,577897,Station Nine,a3b Side by Side,6,0,6,6,1900,6,1,2,0,2,0.3333333333333333,0,0,0,0,2,0.3333333333333333
2025-02-14,577897,Station Nine,a3b TF Side by Side,2,0,2,2,1890,2,1,0,1,1,0.5,0,0,0,0,1,0.5
2025-02-14,577897,Station Nine,a3bl TF Side by Side,2,0,2,2,2188.5,2,1,1,1,2,1,0,0,0,0,2,1
2025-02-14,577897,Station Nine,a3d Side by Side,2,0,2,2,1999,2,1,2,0,2,1,1,0,1,0.5,1,0.5
2025-02-14,577897,Station Nine,a4 1F Side by Side,1,0,1,1,1617,1,1,0,0,0,0,0,0,0,0,0,0
2025-02-14,577897,Station Nine,a4 Stack,4,0,4,4,1900,3,0.75,0,1,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,a4 TF Stack,2,0,2,2,1720,2,1,1,0,1,0.5,0,0,0,0,1,0.5
2025-02-14,577897,Station Nine,b1 1F Pool Side by Side,2,0,2,2,2415,2,1,0,1,1,0.5,0,0,0,0,1,0.5
2025-02-14,577897,Station Nine,b1 1F Side by Side,9,0,9,9,2318.5,9,1,1,1,2,0.2222222222222222,1,0,1,0.1111111111111111,1,0.1111111111111111
2025-02-14,577897,Station Nine,b1 Pool Side by Side,4,0,4,4,2457,4,1,0,1,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,b1al TF Courtyard Side by Side,4,0,4,4,2816,4,1,0,1,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,b1al TF Side by Side,6,0,6,6,2530,5,0.8333333333333334,1,0,1,0.16666666666666666,1,0,1,0.16666666666666666,0,0
2025-02-14,577897,Station Nine,b1bl TF Side by Side,4,0,4,4,2733,3,0.75,1,0,1,0.25,1,0,1,0.25,0,0
2025-02-14,577897,Station Nine,b2a 1F Courtyard Side by Side,2,0,2,2,2285,2,1,0,1,1,0.5,0,2,2,1,-1,-0.5
2025-02-14,577897,Station Nine,b2a Courtyard Side by Side,4,0,4,4,2425,4,1,1,0,1,0.25,0,0,0,0,1,0.25
2025-02-14,577897,Station Nine,b2a Side by Side,4,0,4,4,2420.5,4,1,0,1,1,0.25,1,0,1,0.25,0,0
2025-02-14,577897,Station Nine,b2al TF Courtyard Side by Side,2,0,2,2,1441.5,2,1,0,2,2,1,0,0,0,0,2,1
2025-02-14,577897,Station Nine,b2b Courtyard Side by Side,4,0,4,4,2529,4,1,1,0,1,0.25,1,0,1,0.25,0,0
2025-02-14,577897,Station Nine,b2b Side by Side,2,0,2,2,2415,2,1,1,0,1,0.5,1,0,1,0.5,0,0
2025-02-14,577897,Station Nine,b3a 1F Courtyard Side by Side,4,0,4,4,2699,3,0.75,0,1,1,0.25,2,0,2,0.5,-1,-0.25
2025-02-14,577897,Station Nine,b3a Side by Side,4,0,4,4,2519.5,4,1,2,0,2,0.5,2,0,2,0.5,0,0
2025-02-14,577897,Station Nine,b3b TF Courtyard Side by Side,2,0,2,2,2631,2,1,1,0,1,0.5,0,0,0,0,1,0.5
2025-02-14,641240,Academy 65,A1,10,0,10,10,1078.888888888889,10,1,0,5,5,0.5,1,1,2,0.2,3,0.3
2025-02-14,641240,Academy 65,B1,21,0,21,21,762.3177777777778,21,1,2,9,11,0.5238095238095238,1,6,7,0.3333333333333333,4,0.19047619047619052
2025-02-14,641240,Academy 65,B1 Semi-Shared,21,0,21,21,714.1146666666667,21,1,3,8,11,0.5238095238095238,0,2,2,0.09523809523809523,9,0.4285714285714286
2025-02-14,641240,Academy 65,D1 Balcony,40,0,40,40,879.6153846153846,38,0.95,5,6,11,0.275,0,1,1,0.025,10,0.25
2025-02-14,641240,Academy 65,D2,64,0,64,64,658.3004081632653,64,1,4,29,33,0.515625,3,10,13,0.203125,20,0.3125
2025-02-14,641240,Academy 65,D3,20,0,20,20,581.5384615384615,20,1,1,8,9,0.45,2,6,8,0.4,1,0.04999999999999999
2025-02-14,641240,Academy 65,D3 Semi-Shared,120,0,120,120,663.6779487179488,120,1,2,27,29,0.24166666666666667,0,26,26,0.21666666666666667,3,0.024999999999999994
2025-02-14,641240,Academy 65,S1,5,0,5,5,1096.6666666666667,5,1,0,2,2,0.4,0,2,2,0.4,0,0
2025-02-14,641240,Academy 65,S2,5,0,5,5,956.6666666666666,5,1,2,3,5,1,1,1,2,0.4,3,0.6
2025-02-14,676055,Academy Lincoln,B1,30,0,30,30,525.8333333333334,30,1,12,16,28,0.9333333333333333,14,13,27,0.9,1,0.033333333333333326
2025-02-14,676055,Academy Lincoln,B2,38,0,38,38,576.7647058823529,38,1,13,8,21,0.5526315789473685,19,13,32,0.8421052631578947,-11,-0.2894736842105262
2025-02-14,676055,Academy Lincoln,B3 Townhome,14,0,14,14,588.9130434782609,13,0.9285714285714286,10,4,14,1,5,8,13,0.9285714285714286,1,0.0714285714285714
2025-02-14,676055,Academy Lincoln,C1,42,0,42,42,509.2307692307692,42,1,19,13,32,0.7619047619047619,14,7,21,0.5,11,0.26190476190476186
2025-02-14,676055,Academy Lincoln,D1,472,0,472,472,473.44142259414224,466,0.9872881355932204,182,122,304,0.6440677966101694,165,137,302,0.6398305084745762,2,0.004237288135593209
2025-02-14,676055,Academy Lincoln,D2,36,0,36,36,431.953125,35,0.9722222222222222,18,18,36,1,16,12,28,0.7777777777777778,8,0.2222222222222222
2025-02-14,739076,1008 S. 4th,B1,8,0,8,8,895,8,1,5,3,8,1,4,3,7,0.875,1,0.125
2025-02-14,739076,1008 S. 4th,B2,8,0,8,8,820,8,1,8,0,8,1,2,3,5,0.625,3,0.375
2025-02-14,739076,1008 S. 4th,B3,10,0,10,10,969.1666666666666,9,0.9,5,5,10,1,6,4,10,1,0,0
2025-02-14,739076,1008 S. 4th,B4,2,0,2,2,791.6666666666666,2,1,2,0,2,1,0,1,1,0.5,1,0.5
2025-02-14,739076,1008 S. 4th,B5,2,0,2,2,798.3333333333334,2,1,2,0,2,1,2,0,2,1,0,0
2025-02-14,739076,1008 S. 4th,C1,12,0,12,12,868.0769230769231,12,1,3,9,12,1,9,3,12,1,0,0
2025-02-14,739076,1008 S. 4th,D1,16,0,16,16,734.2105263157895,16,1,11,5,16,1,7,9,16,1,0,0
2025-02-14,739076,1008 S. 4th,D1 Balcony,16,0,16,16,875,16,1,12,4,16,1,12,4,16,1,0,0
2025-02-14,739076,1008 S. 4th,D2,48,0,48,48,780.6140350877193,47,0.9791666666666666,27,21,48,1,32,16,48,1,0,0
2025-02-14,739076,1008 S. 4th,D3 Balcony,12,0,12,12,778.0769230769231,10,0.8333333333333334,10,0,10,0.8333333333333334,9,2,11,0.9166666666666666,-1,-0.08333333333333326
2025-02-14,739076,1008 S. 4th,M1 Murphy,4,0,4,4,967,4,1,2,2,4,1,2,0,2,0.5,2,0.5
2025-02-14,739076,1008 S. 4th,M1 Murphy Balcony,12,0,12,12,1159.2857142857142,12,1,8,4,12,1,9,2,11,0.9166666666666666,1,0.08333333333333337
2025-02-14,739076,1008 S. 4th,S1,4,0,4,4,902.5,4,1,3,1,4,1,3,1,4,1,0,0
2025-02-14,739076,1008 S. 4th,S2,4,0,4,4,1104,4,1,3,1,4,1,2,2,4,1,0,0
2025-02-14,739079,307 E. Daniel,D1,40,0,40,40,786.4,40,1,26,11,37,0.925,22,15,37,0.925,0,0
2025-02-14,739080,501 S. 6th,B1,2,0,2,2,660,2,1,2,0,2,1,0,2,2,1,0,0
2025-02-14,739080,501 S. 6th,B2,2,0,2,2,970,2,1,1,1,2,1,0,2,2,1,0,0
2025-02-14,739080,501 S. 6th,C1,12,0,12,12,903.1818181818181,12,1,9,1,10,0.8333333333333334,9,0,9,0.75,1,0.08333333333333337
2025-02-14,739080,501 S. 6th,C2,12,0,12,12,828,12,1,12,0,12,1,9,3,12,1,0,0
2025-02-14,739080,501 S. 6th,D1,16,0,16,16,607.75,16,1,13,3,16,1,3,13,16,1,0,0
2025-02-14,739080,501 S. 6th,D2,16,0,16,16,660.7894736842105,16,1,10,6,16,1,8,7,15,0.9375,1,0.0625
2025-02-14,739080,501 S. 6th,D3 Townhome,4,0,4,4,862.5,4,1,0,4,4,1,4,0,4,1,0,0
2025-02-14,739080,501 S. 6th,E1 Townhome,20,0,20,20,830.7142857142857,20,1,20,0,20,1,7,11,18,0.9,2,0.09999999999999998
2025-02-14,739080,501 S. 6th,E2 Townhome,20,0,20,20,729.2857142857143,20,1,15,2,17,0.85,4,13,17,0.85,0,0
2025-02-14,739084,908 S. 1st,A1,16,0,16,16,998.75,15,0.9375,7,9,16,1,11,4,15,0.9375,1,0.0625
2025-02-14,739084,908 S. 1st,B1,8,0,8,8,837.2222222222222,8,1,8,0,8,1,4,2,6,0.75,2,0.25
2025-02-14,739084,908 S. 1st,B2,16,0,16,16,757.2222222222222,16,1,5,2,7,0.4375,10,6,16,1,-9,-0.5625
2025-02-14,739084,908 S. 1st,B3,8,0,8,8,921.6666666666666,8,1,6,2,8,1,5,2,7,0.875,1,0.125
2025-02-14,739084,908 S. 1st,D1,16,0,16,16,753.125,16,1,13,0,13,0.8125,6,10,16,1,-3,-0.1875
2025-02-14,739084,908 S. 1st,M1 Murphy,12,0,12,12,910,11,0.9166666666666666,9,3,12,1,6,5,11,0.9166666666666666,1,0.08333333333333337
2025-02-14,739084,908 S. 1st,M1 Murphy Balcony,16,0,16,16,998.1578947368421,15,0.9375,12,4,16,1,7,5,12,0.75,4,0.25
2025-02-14,739084,908 S. 1st,M2 Murphy,4,0,4,4,985,3,0.75,2,2,4,1,4,0,4,1,0,0
2025-02-14,739085,1047 Commonwealth Avenue,S1,25,0,25,25,2856.4285714285716,25,1,1,6,7,0.28,8,10,18,0.72,-11,-0.43999999999999995
2025-02-14,739085,1047 Commonwealth Avenue,S11,24,0,24,24,980.1333333333333,24,1,6,7,13,0.5416666666666666,4,9,13,0.5416666666666666,0,0
2025-02-14,739085,1047 Commonwealth Avenue,S2,12,0,12,12,2928.125,11,0.9166666666666666,1,5,6,0.5,0,4,4,0.3333333333333333,2,0.16666666666666669
2025-02-14,739085,1047 Commonwealth Avenue,S3,51,0,51,51,2612.6923076923076,48,0.9411764705882353,0,10,10,0.19607843137254902,0,11,11,0.21568627450980393,-1,-0.019607843137254916
2025-02-14,739085,1047 Commonwealth Avenue,S4,8,0,8,8,3006.25,8,1,3,1,4,0.5,1,2,3,0.375,1,0.125
2025-02-14,739085,1047 Commonwealth Avenue,S5,10,0,10,10,3100,10,1,0,3,3,0.3,0,4,4,0.4,-1,-0.10000000000000003
2025-02-14,739085,1047 Commonwealth Avenue,S6,29,0,29,29,3329.1666666666665,29,1,1,5,6,0.20689655172413793,7,7,14,0.4827586206896552,-8,-0.27586206896551724
2025-02-14,739085,1047 Commonwealth Avenue,S7,4,0,4,4,3370,3,0.75,0,1,1,0.25,0,1,1,0.25,0,0
2025-02-14,739085,1047 Commonwealth Avenue,S8,11,0,11,11,3325,5,0.45454545454545453,0,1,1,0.09090909090909091,0,2,2,0.18181818181818182,-1,-0.09090909090909091
2025-02-14,739085,1047 Commonwealth Avenue,S9,5,0,5,5,3950,4,0.8,0,2,2,0.4,0,0,0,0,2,0.4
2025-02-14,833617,The Dean Campustown,A1,14,0,14,14,1862.1875,14,1,10,4,14,1,5,9,14,1,0,0
2025-02-14,833617,The Dean Campustown,A2 Deluxe,28,0,28,28,851.3888888888889,28,1,14,14,28,1,16,12,28,1,0,0
2025-02-14,833617,The Dean Campustown,B1,28,0,28,28,1205.8333333333333,28,1,21,6,27,0.9642857142857143,16,11,27,0.9642857142857143,0,0
2025-02-14,833617,The Dean Campustown,B2,28,0,28,28,1314.1666666666667,28,1,18,9,27,0.9642857142857143,15,12,27,0.9642857142857143,0,0
2025-02-14,833617,The Dean Campustown,B3 XL,56,0,56,56,621.9852941176471,56,1,22,28,50,0.8928571428571429,34,12,46,0.8214285714285714,4,0.07142857142857151
2025-02-14,833617,The Dean Campustown,B4 XL,56,0,56,56,690.8333333333334,56,1,16,38,54,0.9642857142857143,14,34,48,0.8571428571428571,6,0.1071428571428572
2025-02-14,833617,The Dean Campustown,D1,56,0,56,56,986.6666666666666,48,0.8571428571428571,23,18,41,0.7321428571428571,21,13,34,0.6071428571428571,7,0.125
2025-02-14,833617,The Dean Campustown,D2,56,0,56,56,980,55,0.9821428571428571,18,9,27,0.48214285714285715,29,7,36,0.6428571428571429,-9,-0.16071428571428575
2025-02-14,833617,The Dean Campustown,D3,56,0,56,56,1041.9354838709678,53,0.9464285714285714,14,9,23,0.4107142857142857,9,17,26,0.4642857142857143,-3,-0.0535714285714286
2025-02-14,833617,The Dean Campustown,D4,56,0,56,56,1026.5151515151515,56,1,21,7,28,0.5,17,16,33,0.5892857142857143,-5,-0.0892857142857143
2025-02-14,833617,The Dean Campustown,D5,56,0,56,56,1163.8157894736842,55,0.9821428571428571,24,12,36,0.6428571428571429,21,21,42,0.75,-6,-0.1071428571428571
2025-02-14,833617,The Dean Campustown,M1,84,0,84,84,1588.8461538461538,83,0.9880952380952381,17,30,47,0.5595238095238095,12,26,38,0.4523809523809524,9,0.10714285714285715
2025-02-14,833617,The Dean Campustown,S1,42,0,42,42,1597.837837837838,41,0.9761904761904762,8,21,29,0.6904761904761905,12,21,33,0.7857142857142857,-4,-0.09523809523809523
2025-02-14,833617,The Dean Campustown,S2,28,0,28,28,1717.7777777777778,28,1,0,13,13,0.4642857142857143,8,8,16,0.5714285714285714,-3,-0.1071428571428571
2025-02-14,833617,The Dean Campustown,S3 XL,28,0,28,28,704.1176470588235,28,1,6,16,22,0.7857142857142857,4,14,18,0.6428571428571429,4,0.1428571428571428
2025-02-14,952515,SOVA,A1,20,0,20,20,1048.0645161290322,19,0.95,4,17,21,1.05,4,11,15,0.75,6,0.30000000000000004
2025-02-14,952515,SOVA,B1,64,0,64,64,964.1525423728814,64,1,8,39,47,0.734375,24,22,46,0.71875,1,0.015625
2025-02-14,952515,SOVA,B1 ALT,30,0,30,30,944.375,29,0.9666666666666667,1,11,12,0.4,8,14,22,0.7333333333333333,-10,-0.33333333333333326
2025-02-14,952515,SOVA,C1,66,0,66,66,842.7611940298508,66,1,17,35,52,0.7878787878787878,23,25,48,0.7272727272727273,4,0.06060606060606055
2025-02-14,952515,SOVA,D1,308,0,308,308,849.554794520548,308,1,2,116,118,0.38311688311688313,58,102,160,0.5194805194805194,-42,-0.1363636363636363
2025-02-14,952515,SOVA,D2,88,0,88,88,857.7884615384615,88,1,12,31,43,0.48863636363636365,32,31,63,0.7159090909090909,-20,-0.2272727272727273
2025-02-14,952515,SOVA,D3,240,0,240,240,851.0227272727273,239,0.9958333333333333,20,81,101,0.42083333333333334,39,96,135,0.5625,-34,-0.14166666666666666
2025-02-14,1115679,ANOVA uCity Square,A2,17,0,17,17,1409.2222222222222,14,0.8235294117647058,1,4,5,0.29411764705882354,3,1,4,0.23529411764705882,1,0.05882352941176472
2025-02-14,1115679,ANOVA uCity Square,A3,10,0,10,10,713,9,0.9,2,1,3,0.3,4,2,6,0.6,-3,-0.3
2025-02-14,1115679,ANOVA uCity Square,A4,20,0,20,20,555.2380952380952,20,1,2,2,4,0.2,0,2,2,0.1,2,0.1
2025-02-14,1115679,ANOVA uCity Square,A6,5,0,5,5,1211.5,4,0.8,0,0,0,0,2,0,2,0.4,-2,-0.4
2025-02-14,1115679,ANOVA uCity Square,A8,186,0,186,186,922.5320512820513,168,0.9032258064516129,26,27,53,0.2849462365591398,43,10,53,0.2849462365591398,0,0
2025-02-14,1115679,ANOVA uCity Square,B1,11,0,11,11,1681.5,11,1,1,0,1,0.09090909090909091,3,1,4,0.36363636363636365,-3,-0.2727272727272727
2025-02-14,1115679,ANOVA uCity Square,B2,22,0,22,22,1161.3846153846155,20,0.9090909090909091,2,6,8,0.36363636363636365,5,1,6,0.2727272727272727,2,0.09090909090909094
2025-02-14,1115679,ANOVA uCity Square,S1,168,0,168,168,745.1416666666667,159,0.9464285714285714,23,21,44,0.2619047619047619,25,8,33,0.19642857142857142,11,0.0654761904761905
2025-02-14,1143679,Torre,A1,3,0,3,3,1760,3,1,1,2,3,1,2,1,3,1,0,0
2025-02-14,1143679,Torre,A2,1,0,1,1,1440,1,1,0,1,1,1,0,1,1,1,0,0
